"ID","CONTENT","FORMAT","RC","DOK"
"ITEM1","BIO","RS","SIN",2
"ITEM2","CHE","RS","SIN",1
"ITEM3","CHE","CV","EMI",2
"ITEM4","BIO","DR","IOD",2
"ITEM5","BIO","RS","IOD",2
"ITEM6","ESS","DR","EMI",2
"ITEM7","PHY","DR","EMI",2
"ITEM8","PHY","DR","IOD",2
"ITEM9","CHE","DR","IOD",2
"ITEM10","BIO","CV","EMI",1
"ITEM11","ESS","RS","SIN",1
"ITEM12","BIO","RS","SIN",2
"ITEM13","CHE","DR","IOD",2
"ITEM14","BIO","DR","IOD",2
"ITEM15","ESS","DR","IOD",2
"ITEM16","ESS","CV","EMI",1
"ITEM17","BIO","CV","EMI",2
"ITEM18","ESS","RS","SIN",1
"ITEM19","ESS","DR","EMI",2
"ITEM20","BIO","RS","IOD",3
"ITEM21","BIO","CV","EMI",2
"ITEM22","BIO","DR","IOD",2
"ITEM23","PHY","DR","IOD",2
"ITEM24","PHY","DR","IOD",2
"ITEM25","PHY","RS","SIN",3
"ITEM26","CHE","DR","IOD",2
"ITEM27","ESS","RS","SIN",2
"ITEM28","BIO","DR","EMI",2
"ITEM29","CHE","DR","IOD",2
"ITEM30","CHE","CV","EMI",2
"ITEM31","CHE","DR","IOD",3
"ITEM32","BIO","DR","IOD",2
"ITEM33","CHE","DR","EMI",2
"ITEM34","BIO","RS","EMI",2
"ITEM35","CHE","DR","IOD",3
"ITEM36","ESS","RS","IOD",2
"ITEM37","ESS","RS","SIN",2
"ITEM38","CHE","DR","EMI",3
"ITEM39","BIO","RS","IOD",2
"ITEM40","ESS","RS","IOD",2
"ITEM41","BIO","DR","IOD",3
"ITEM42","BIO","CV","EMI",3
"ITEM43","PHY","CV","EMI",2
"ITEM44","CHE","DR","IOD",2
"ITEM45","ESS","RS","IOD",3
"ITEM46","BIO","DR","EMI",2
"ITEM47","BIO","CV","EMI",2
"ITEM48","BIO","CV","EMI",2
"ITEM49","CHE","RS","IOD",2
"ITEM50","BIO","DR","IOD",2
"ITEM51","PHY","RS","EMI",2
"ITEM52","BIO","DR","IOD",1
"ITEM53","BIO","CV","EMI",3
"ITEM54","PHY","DR","IOD",2
"ITEM55","PHY","RS","SIN",2
"ITEM56","CHE","DR","IOD",2
"ITEM57","ESS","CV","EMI",3
"ITEM58","PHY","DR","IOD",2
"ITEM59","CHE","RS","SIN",2
"ITEM60","PHY","RS","SIN",2
"ITEM61","BIO","RS","EMI",2
"ITEM62","PHY","DR","IOD",2
"ITEM63","ESS","RS","EMI",2
"ITEM64","BIO","DR","IOD",2
"ITEM65","ESS","RS","IOD",2
"ITEM66","PHY","CV","EMI",2
"ITEM67","BIO","DR","IOD",2
"ITEM68","BIO","DR","IOD",2
"ITEM69","CHE","RS","IOD",2
"ITEM70","BIO","RS","IOD",2
"ITEM71","BIO","RS","SIN",2
"ITEM72","BIO","RS","SIN",2
"ITEM73","ESS","RS","IOD",1
"ITEM74","CHE","DR","IOD",3
"ITEM75","BIO","DR","IOD",2
"ITEM76","ESS","RS","EMI",2
"ITEM77","BIO","RS","IOD",2
"ITEM78","ESS","RS","SIN",2
"ITEM79","CHE","RS","SIN",2
"ITEM80","CHE","DR","IOD",1
"ITEM81","PHY","DR","SIN",2
"ITEM82","ESS","DR","IOD",2
"ITEM83","PHY","RS","SIN",2
"ITEM84","BIO","DR","IOD",2
"ITEM85","ESS","RS","SIN",2
"ITEM86","CHE","DR","IOD",2
"ITEM87","PHY","RS","SIN",2
"ITEM88","BIO","RS","IOD",2
"ITEM89","ESS","RS","SIN",2
"ITEM90","CHE","DR","IOD",2
"ITEM91","PHY","CV","EMI",2
"ITEM92","PHY","DR","SIN",2
"ITEM93","PHY","RS","SIN",2
"ITEM94","PHY","RS","SIN",2
"ITEM95","ESS","DR","IOD",2
"ITEM96","BIO","CV","EMI",2
"ITEM97","CHE","RS","SIN",2
"ITEM98","BIO","RS","SIN",3
"ITEM99","BIO","DR","SIN",3
"ITEM100","CHE","RS","IOD",2
"ITEM101","PHY","DR","EMI",2
"ITEM102","ESS","RS","EMI",2
"ITEM103","BIO","DR","EMI",2
"ITEM104","CHE","CV","EMI",2
"ITEM105","ESS","CV","EMI",2
"ITEM106","BIO","CV","EMI",2
"ITEM107","PHY","DR","IOD",2
"ITEM108","BIO","RS","SIN",2
"ITEM109","ESS","DR","IOD",2
"ITEM110","BIO","RS","IOD",2
"ITEM111","BIO","DR","SIN",2
"ITEM112","CHE","RS","EMI",2
"ITEM113","CHE","RS","SIN",2
"ITEM114","BIO","RS","SIN",2
"ITEM115","ESS","DR","IOD",2
"ITEM116","CHE","RS","SIN",2
"ITEM117","BIO","DR","IOD",2
"ITEM118","BIO","DR","EMI",2
"ITEM119","BIO","DR","IOD",2
"ITEM120","CHE","CV","SIN",2
"ITEM121","PHY","CV","IOD",2
"ITEM122","BIO","CV","EMI",1
"ITEM123","BIO","RS","EMI",3
"ITEM124","BIO","RS","IOD",2
"ITEM125","CHE","CV","EMI",1
"ITEM126","BIO","RS","IOD",2
"ITEM127","BIO","DR","IOD",2
"ITEM128","CHE","RS","EMI",2
"ITEM129","ESS","RS","SIN",2
"ITEM130","CHE","DR","IOD",2
"ITEM131","ESS","CV","EMI",2
"ITEM132","ESS","RS","IOD",2
"ITEM133","CHE","DR","IOD",2
"ITEM134","BIO","RS","EMI",2
"ITEM135","BIO","RS","EMI",2
"ITEM136","CHE","DR","IOD",2
"ITEM137","BIO","RS","EMI",2
