"ID","CONTENT","FORMAT","RC","DOK","STRATUM"
"ITEM1","BIO","RS","SIN",2,2
"ITEM2","CHE","RS","SIN",1,1
"ITEM3","CHE","CV","EMI",2,2
"ITEM4","BIO","DR","IOD",2,1
"ITEM5","BIO","RS","IOD",2,2
"ITEM6","ESS","DR","EMI",2,1
"ITEM7","PHY","DR","EMI",2,2
"ITEM8","PHY","DR","IOD",2,1
"ITEM9","CHE","DR","IOD",2,1
"ITEM10","BIO","CV","EMI",1,1
"ITEM11","ESS","RS","SIN",1,2
"ITEM12","BIO","RS","SIN",2,1
"ITEM13","CHE","DR","IOD",2,2
"ITEM14","BIO","DR","IOD",2,2
"ITEM15","ESS","DR","IOD",2,2
"ITEM16","ESS","CV","EMI",1,2
"ITEM17","BIO","CV","EMI",2,1
"ITEM18","ESS","RS","SIN",1,2
"ITEM19","ESS","DR","EMI",2,2
"ITEM20","BIO","RS","IOD",3,2
"ITEM21","BIO","CV","EMI",2,2
"ITEM22","BIO","DR","IOD",2,2
"ITEM23","PHY","DR","IOD",2,2
"ITEM24","PHY","DR","IOD",2,2
"ITEM25","PHY","RS","SIN",3,1
"ITEM26","CHE","DR","IOD",2,1
"ITEM27","ESS","RS","SIN",2,1
"ITEM28","BIO","DR","EMI",2,1
"ITEM29","CHE","DR","IOD",2,1
"ITEM30","CHE","CV","EMI",2,1
"ITEM31","CHE","DR","IOD",3,1
"ITEM32","BIO","DR","IOD",2,2
"ITEM33","CHE","DR","EMI",2,1
"ITEM34","BIO","RS","EMI",2,2
"ITEM35","CHE","DR","IOD",3,1
"ITEM36","ESS","RS","IOD",2,2
"ITEM37","ESS","RS","SIN",2,2
"ITEM38","CHE","DR","EMI",3,1
"ITEM39","BIO","RS","IOD",2,1
"ITEM40","ESS","RS","IOD",2,2
"ITEM41","BIO","DR","IOD",3,1
"ITEM42","BIO","CV","EMI",3,2
"ITEM43","PHY","CV","EMI",2,2
"ITEM44","CHE","DR","IOD",2,2
"ITEM45","ESS","RS","IOD",3,1
"ITEM46","BIO","DR","EMI",2,2
"ITEM47","BIO","CV","EMI",2,2
"ITEM48","BIO","CV","EMI",2,1
"ITEM49","CHE","RS","IOD",2,2
"ITEM50","BIO","DR","IOD",2,2
"ITEM51","PHY","RS","EMI",2,2
"ITEM52","BIO","DR","IOD",1,2
"ITEM53","BIO","CV","EMI",3,1
"ITEM54","PHY","DR","IOD",2,1
"ITEM55","PHY","RS","SIN",2,2
"ITEM56","CHE","DR","IOD",2,1
"ITEM57","ESS","CV","EMI",3,2
"ITEM58","PHY","DR","IOD",2,1
"ITEM59","CHE","RS","SIN",2,1
"ITEM60","PHY","RS","SIN",2,1
"ITEM61","BIO","RS","EMI",2,2
"ITEM62","PHY","DR","IOD",2,1
"ITEM63","ESS","RS","EMI",2,2
"ITEM64","BIO","DR","IOD",2,2
"ITEM65","ESS","RS","IOD",2,1
"ITEM66","PHY","CV","EMI",2,2
"ITEM67","BIO","DR","IOD",2,1
"ITEM68","BIO","DR","IOD",2,1
"ITEM69","CHE","RS","IOD",2,1
"ITEM70","BIO","RS","IOD",2,2
"ITEM71","BIO","RS","SIN",2,2
"ITEM72","BIO","RS","SIN",2,1
"ITEM73","ESS","RS","IOD",1,2
"ITEM74","CHE","DR","IOD",3,1
"ITEM75","BIO","DR","IOD",2,2
"ITEM76","ESS","RS","EMI",2,2
"ITEM77","BIO","RS","IOD",2,1
"ITEM78","ESS","RS","SIN",2,1
"ITEM79","CHE","RS","SIN",2,1
"ITEM80","CHE","DR","IOD",1,1
"ITEM81","PHY","DR","SIN",2,2
"ITEM82","ESS","DR","IOD",2,1
"ITEM83","PHY","RS","SIN",2,1
"ITEM84","BIO","DR","IOD",2,2
"ITEM85","ESS","RS","SIN",2,2
"ITEM86","CHE","DR","IOD",2,1
"ITEM87","PHY","RS","SIN",2,2
"ITEM88","BIO","RS","IOD",2,1
"ITEM89","ESS","RS","SIN",2,2
"ITEM90","CHE","DR","IOD",2,1
"ITEM91","PHY","CV","EMI",2,1
"ITEM92","PHY","DR","SIN",2,2
"ITEM93","PHY","RS","SIN",2,2
"ITEM94","PHY","RS","SIN",2,1
"ITEM95","ESS","DR","IOD",2,1
"ITEM96","BIO","CV","EMI",2,2
"ITEM97","CHE","RS","SIN",2,2
"ITEM98","BIO","RS","SIN",3,1
"ITEM99","BIO","DR","SIN",3,1
"ITEM100","CHE","RS","IOD",2,1
"ITEM101","PHY","DR","EMI",2,2
"ITEM102","ESS","RS","EMI",2,2
"ITEM103","BIO","DR","EMI",2,1
"ITEM104","CHE","CV","EMI",2,1
"ITEM105","ESS","CV","EMI",2,2
"ITEM106","BIO","CV","EMI",2,2
"ITEM107","PHY","DR","IOD",2,2
"ITEM108","BIO","RS","SIN",2,1
"ITEM109","ESS","DR","IOD",2,2
"ITEM110","BIO","RS","IOD",2,1
"ITEM111","BIO","DR","SIN",2,1
"ITEM112","CHE","RS","EMI",2,1
"ITEM113","CHE","RS","SIN",2,1
"ITEM114","BIO","RS","SIN",2,2
"ITEM115","ESS","DR","IOD",2,2
"ITEM116","CHE","RS","SIN",2,2
"ITEM117","BIO","DR","IOD",2,2
"ITEM118","BIO","DR","EMI",2,2
"ITEM119","BIO","DR","IOD",2,1
"ITEM120","CHE","CV","SIN",2,1
"ITEM121","PHY","CV","IOD",2,2
"ITEM122","BIO","CV","EMI",1,2
"ITEM123","BIO","RS","EMI",3,1
"ITEM124","BIO","RS","IOD",2,2
"ITEM125","CHE","CV","EMI",1,2
"ITEM126","BIO","RS","IOD",2,2
"ITEM127","BIO","DR","IOD",2,2
"ITEM128","CHE","RS","EMI",2,2
"ITEM129","ESS","RS","SIN",2,2
"ITEM130","CHE","DR","IOD",2,1
"ITEM131","ESS","CV","EMI",2,2
"ITEM132","ESS","RS","IOD",2,1
"ITEM133","CHE","DR","IOD",2,2
"ITEM134","BIO","RS","EMI",2,2
"ITEM135","BIO","RS","EMI",2,1
"ITEM136","CHE","DR","IOD",2,1
"ITEM137","BIO","RS","EMI",2,1
"ITEM138","BIO","RS","IOD",2,2
"ITEM139","PHY","DR","EMI",3,1
"ITEM140","ESS","RS","SIN",2,1
"ITEM141","BIO","RS","SIN",2,2
"ITEM142","BIO","RS","SIN",2,2
"ITEM143","PHY","CV","EMI",2,2
"ITEM144","CHE","RS","SIN",2,1
"ITEM145","PHY","RS","SIN",2,1
"ITEM146","PHY","DR","IOD",2,2
"ITEM147","BIO","RS","IOD",2,2
"ITEM148","CHE","RS","SIN",2,2
"ITEM149","BIO","RS","EMI",2,2
"ITEM150","ESS","RS","IOD",1,2
"ITEM151","CHE","RS","SIN",2,1
"ITEM152","PHY","DR","IOD",2,2
"ITEM153","CHE","CV","IOD",2,1
"ITEM154","PHY","CV","EMI",2,2
"ITEM155","BIO","RS","SIN",2,2
"ITEM156","PHY","CV","EMI",3,2
"ITEM157","BIO","DR","IOD",1,2
"ITEM158","CHE","RS","SIN",2,1
"ITEM159","PHY","CV","EMI",3,1
"ITEM160","CHE","CV","EMI",2,1
"ITEM161","BIO","DR","IOD",2,1
"ITEM162","PHY","RS","SIN",2,2
"ITEM163","BIO","DR","SIN",2,2
"ITEM164","PHY","CV","EMI",2,2
"ITEM165","BIO","RS","IOD",2,2
"ITEM166","CHE","CV","EMI",2,1
"ITEM167","BIO","RS","IOD",2,1
"ITEM168","ESS","RS","SIN",2,2
"ITEM169","BIO","RS","EMI",2,2
"ITEM170","PHY","RS","SIN",3,2
"ITEM171","CHE","RS","SIN",2,1
"ITEM172","ESS","RS","SIN",2,2
"ITEM173","ESS","DR","EMI",2,1
"ITEM174","BIO","DR","EMI",2,1
"ITEM175","PHY","CV","EMI",2,1
"ITEM176","CHE","CV","EMI",2,1
"ITEM177","ESS","DR","IOD",3,1
"ITEM178","ESS","RS","SIN",2,2
"ITEM179","BIO","DR","IOD",1,2
"ITEM180","CHE","DR","IOD",2,1
"ITEM181","CHE","DR","EMI",2,2
"ITEM182","ESS","RS","SIN",2,1
"ITEM183","ESS","DR","EMI",2,1
"ITEM184","BIO","RS","EMI",3,1
"ITEM185","BIO","DR","IOD",2,1
"ITEM186","BIO","DR","IOD",2,1
"ITEM187","BIO","CV","EMI",2,2
"ITEM188","ESS","DR","IOD",2,1
"ITEM189","CHE","RS","EMI",2,1
"ITEM190","PHY","RS","SIN",2,1
"ITEM191","CHE","DR","EMI",2,1
"ITEM192","PHY","DR","IOD",3,2
"ITEM193","BIO","RS","EMI",2,1
"ITEM194","PHY","CV","EMI",2,1
"ITEM195","ESS","RS","SIN",2,2
"ITEM196","PHY","RS","IOD",1,1
"ITEM197","ESS","DR","IOD",2,2
"ITEM198","PHY","RS","IOD",2,1
"ITEM199","ESS","RS","SIN",2,2
"ITEM200","PHY","RS","SIN",2,1
"ITEM201","BIO","DR","IOD",2,1
